ID,Lat,Lng,City,Country,Max Temp,Hum,Cloud,Wind
125,-33.784584,-0.244086776,luderitz,na,66.28,84,0,5.95
127,-53.52356307,69.21865621,saint-philippe,re,77,65,0,23.04
129,-48.00530436,179.7627587,waipawa,nz,48.1,91,88,7.18
130,27.90370414,-175.3287983,kapaa,us,62.6,88,1,6.93
135,42.51621835,-124.3351441,coos bay,us,44.6,93,20,3.36
139,21.30260455,118.798565,kaohsiung,tw,82.4,74,40,8.05
141,-65.50947045,106.4212603,albany,au,54.4,68,32,11.88
142,39.96990303,-93.2836394,kirksville,us,69.8,60,75,18.34
143,44.28408883,-179.6014824,provideniya,ru,24.7,100,8,11.54
144,35.94749384,125.752432,seoul,kr,66.2,100,90,2.48
145,47.09019683,-117.6933692,cheney,us,46.4,81,75,4.7
150,10.33232159,71.09403139,kavaratti,in,85.9,100,0,10.76
151,-25.1682763,54.00571424,saint-pierre,re,77,65,0,23.04
152,27.59363521,-106.5292038,valentin gomez farias,mx,59,47,5,8.05
153,78.83179628,-137.2572179,tuktoyaktuk,ca,32,92,90,13.87
154,18.62633871,68.14125822,mangrol,in,88.87,32,80,7.63
155,35.33837185,38.89845898,manbij,sy,69.8,56,75,13.87
157,-43.0458241,-66.63813302,trelew,ar,56.02,48,12,18.25
159,19.93245352,-30.87604867,ponta do sol,cv,70.15,100,64,21.05
162,54.96930948,-25.57757324,grindavik,is,41,93,75,26.4
163,3.875711306,-39.12137159,itarema,br,81.04,100,92,6.96
164,18.82925894,-100.8994345,tiquicheo,mx,78.43,42,36,2.71
165,34.37239224,73.92915746,uri,in,60.07,54,12,1.59
167,75.2963978,-0.578275209,roald,no,53.6,61,0,11.41
170,52.24795779,-123.3119359,quesnel,ca,41,65,75,2.24
171,-41.74926723,17.40412445,hermanus,za,76.09,26,24,2.26
172,-43.56051178,174.013203,amberley,nz,50,87,88,4.7
173,-68.52425143,177.5812508,kaitangata,nz,40.45,83,24,9.64
177,-21.48159786,171.6262071,isangel,vu,76,100,24,16.24
181,6.722250826,68.68298462,kulhudhuffushi,mv,85.63,100,88,9.64
182,11.60623941,-95.27804051,ocos,gt,84.2,83,20,2.24
183,-31.55344497,158.4881209,sawtell,au,59,87,44,2.59
184,31.20091048,123.3725864,shenjiamen,cn,65.56,97,88,1.36
186,12.84118046,25.51194922,umm kaddadah,sd,102.64,7,0,4.61
187,-11.38422142,-36.21321243,barra dos coqueiros,br,84.73,64,80,11.1
194,-34.47542299,87.50578826,geraldton,au,62.6,63,75,10.29
195,47.02528824,92.10059435,ulaangom,mn,47.65,52,68,7.63
196,-15.2750223,-77.38197347,pisco,pe,71.6,68,0,16.11
199,35.38274895,-146.1552091,kahului,us,64.4,100,40,4.7
202,7.783206287,-160.7171551,hilo,us,71.6,94,90,9.75
204,23.68760943,138.8623455,shingu,jp,64.39,91,24,5.73
205,70.35036794,-8.067114492,klaksvik,fo,41,86,92,13.87
208,46.47915268,-127.3721779,ucluelet,ca,46.4,93,40,4.7
209,-37.19601655,-83.94495765,lebu,cl,57.37,95,80,17.25
210,66.62102483,-15.13880439,husavik,is,42.8,41,40,12.75
211,-34.54721048,-77.60646211,talcahuano,cl,57.2,93,90,5.82
212,57.91159907,-39.24920173,nanortalik,gl,31.36,92,44,22.73
214,30.57989832,-115.1143559,san felipe,mx,64.57,100,8,7.74
215,65.10684613,9.064677917,sistranda,no,48.2,57,75,23.04
218,57.28541912,117.8984256,chara,ru,20.29,83,0,1.81
219,78.48788757,-53.7481149,upernavik,gl,13.18,100,12,9.64
222,-35.81023772,139.0873552,victor harbor,au,60.8,38,0,8.05
223,-16.14450353,19.73396036,rundu,na,82.21,24,64,8.63
225,26.60119668,43.13706636,buraydah,sa,89.6,38,75,4.7
226,58.45298202,-163.8000447,bethel,us,30.2,86,90,8.05
229,16.59953729,52.01679258,salalah,om,87.8,70,20,13.87
230,-7.734571485,111.0543127,karanganom,id,79.6,100,0,8.19
231,39.91855143,159.8626257,severo-kurilsk,ru,30.91,100,36,7.52
232,44.08968292,-107.4713713,worland,us,42.8,87,90,8.05
235,3.385094541,25.236187,buta,cd,95.71,35,0,2.71
236,-57.7249122,155.6972951,tuatapere,nz,47.02,100,8,10.42
239,34.62846759,29.71596782,kumluca,tr,70.06,24,56,1.25
243,55.66424111,-157.3120168,kodiak,us,69.8,73,1,20.8
247,18.93087279,136.7585482,nishihara,jp,68,68,1,3.36
249,67.00497324,116.226955,udachnyy,ru,42.07,74,88,6.96
250,10.60374858,-18.87168344,oussouye,sn,104,45,0,11.41
252,4.034816026,-55.42276124,grand-santi,gf,76.81,92,92,2.71
253,64.21656048,153.5693856,seymchan,ru,7.42,66,0,2.15
256,-27.57122866,-166.525102,alofi,nu,77,94,40,5.82
259,67.46815713,166.6827531,bilibino,ru,16.06,85,64,2.37
260,46.95270409,86.28370174,zaysan,kz,58.72,65,100,9.08
261,49.84343708,-45.68653794,torbay,ca,44.6,100,90,11.41
263,21.94555155,62.65828012,sur,om,87.52,74,36,3.71
264,-6.314913214,70.12914302,hithadhoo,mv,83.11,100,76,13
265,35.55481693,-128.1083016,pacifica,us,53.6,87,20,4.7
266,17.28285732,-60.21586408,le moule,gp,84.2,58,68,17.22
267,-54.90029648,136.5146268,new norfolk,au,55.4,71,0,17.22
272,-42.59311526,170.3864771,hokitika,nz,52.24,100,0,3.27
274,19.46545048,73.65388573,ghoti,in,82.48,35,0,7.63
275,-51.27628666,-25.81401501,cidreira,br,73.93,86,80,8.08
277,-13.82794693,-81.44338929,hualmay,pe,70.87,85,24,4.94
278,-8.202065514,-66.27032361,pauini,br,82.75,85,12,3.71
281,-51.45183868,-69.42951252,rio gallegos,ar,32,100,0,3.36
283,16.07016573,79.8725914,vinukonda,in,88.15,51,8,11.99
286,51.94516222,80.61384561,volchikha,ru,45.85,47,20,15.35
289,-0.037518217,-82.42873069,manta,ec,80.6,78,90,6.96
290,64.07910149,100.6320956,tura,ru,34.96,96,80,2.15
296,46.72064413,-4.803231737,concarneau,fr,53.6,66,75,17.22
297,79.82630627,168.2016655,pevek,ru,20.38,91,88,8.52
300,60.35736012,-62.73908051,pangnirtung,ca,1.4,77,75,13.87
303,48.52459503,-133.0226368,port hardy,ca,44.6,75,20,6.93
305,-33.15711721,47.58120446,ambovombe,mg,76.45,69,8,20.04
306,50.31211159,168.1615355,nikolskoye,ru,46.4,87,90,13.42
307,-33.58627169,147.2025495,forbes,au,53.05,82,56,6.29
308,24.94820101,-78.39071899,andros town,bs,82.4,65,40,16.11
314,30.59616278,-112.8197851,caborca,mx,59.98,42,36,7.63
319,32.28177459,-8.065102871,marrakesh,ma,64.4,42,75,5.82
321,28.91526765,-26.83432231,ponta delgada,pt,62.6,72,40,14.99
324,55.17707994,124.6395242,tynda,ru,27.22,73,0,2.59
325,22.4541716,34.80505068,aswan,eg,102.2,10,75,20.8
327,-10.79738794,144.6480688,daru,pg,81.13,92,100,13
331,57.22311825,-15.47399989,westport,ie,50,93,90,13.87
332,-4.440467265,112.9292389,sampit,id,74.65,95,88,5.84
333,-6.228584365,95.37951444,padang,id,84.28,100,56,6.51
335,43.51927569,-18.11392364,muros,es,55.4,50,40,10.29
336,-34.20729824,6.375457641,oranjemund,na,62.86,92,48,6.85
338,10.54954553,-61.88055728,mucurapo,tt,84.2,70,75,18.34
340,56.23436191,161.4200975,klyuchi,ru,44.5,50,36,14.79
341,-12.55776294,131.8659978,howard springs,au,82.4,69,75,3.36
344,-34.67930089,131.16171,flinders,au,53.6,81,48,8.05
345,34.23838545,70.49540737,jalalabad,af,95,10,75,9.17
347,63.73858816,117.2204814,nyurba,ru,46.75,47,20,9.19
351,-4.231527978,-70.85152269,puerto narino,co,80.6,88,75,3.36
352,-41.79476404,-70.93398223,san carlos de bariloche,ar,42.8,93,75,4.7
355,-9.957285555,24.31216493,kamina,cd,82.48,47,88,6.4
358,62.90527368,-170.6909508,lavrentiya,ru,20.56,100,88,21.83
363,65.00318602,-43.98987276,qaqortoq,gl,35.6,51,75,20.8
366,19.89920818,-105.1907785,tomatlan,mx,76.81,64,88,3.15
367,31.56556977,-65.99170503,hamilton,bm,68,56,20,12.75
370,-45.62833899,78.75217489,mahebourg,mu,77,83,75,17.22
371,-30.86852528,41.53954862,beloha,mg,79.51,49,8,18.14
377,-34.53763494,-68.71457036,san rafael,ar,56.2,52,0,2.71
380,-13.84389068,124.1484929,kupang,id,79.96,92,24,8.63
381,8.369955232,16.84505812,beboto,td,99.13,37,8,3.15
382,11.92973693,-96.12262581,pochutla,mx,87.8,95,75,3.38
384,26.23085814,-6.114323748,taoudenni,ml,88.96,11,20,14.67
388,34.62986877,-114.0333326,lake havasu city,us,66.2,39,1,14.99
392,-6.562079613,-43.18452861,floriano,br,88.78,60,56,10.2
393,41.00101944,-113.7296687,west wendover,us,44.6,48,1,4.05
395,19.9960012,-4.425721789,araouane,ml,97.6,11,0,13.44
397,43.23269999,17.28433651,drinovci,ba,80.6,39,20,8.05
399,-20.81024787,-58.17258972,fuerte olimpo,py,92.74,60,0,6.17
400,65.15596777,128.6775369,sangar,ru,35.86,61,76,6.29
405,69.83749004,-85.57450873,clyde river,ca,12.2,72,90,19.46
410,-17.95568395,118.577611,port hedland,au,75.2,83,0,4.7
411,40.07508194,21.47039773,grevena,gr,77,36,40,6.93
412,33.80032315,-98.89072276,wichita falls,us,73.4,73,75,23.04
414,12.16302643,125.8679848,san policarpo,ph,79.78,100,92,5.61
419,56.21182119,71.16724487,krutinka,ru,39.55,47,0,2.93
421,79.74221761,97.74274954,khatanga,ru,13.63,86,80,9.64
423,-12.12539613,48.28436913,ambilobe,mg,83.11,55,0,19.26
425,21.64334987,-15.4540868,nouadhibou,mr,71.6,53,0,20.8
426,11.0229358,-88.22848216,corinto,ni,86,55,40,4.7
429,24.8342186,87.91193288,farakka,in,73.66,93,88,6.29
433,12.09411768,-75.19306019,puerto colombia,co,87.8,70,75,6.93
435,-22.10801189,60.60524908,bambous virieux,mu,77,83,75,17.22
436,-4.919148718,-90.25642123,san cristobal,ec,66.1,98,48,2.71
439,6.960361761,4.699052858,ondo,ng,86.71,73,0,4.72
444,54.25583661,70.8473064,bulaevo,kz,42.25,51,36,2.93
446,30.35324145,-74.23617551,marsh harbour,bs,76.18,100,24,19.6
452,78.12722375,35.55817816,vardo,no,39.2,60,0,4.7
456,37.83340245,58.91702245,annau,tm,71.6,26,90,6.93
457,40.97828455,-115.4840321,elko,us,28.4,86,1,3.36
459,7.96587673,57.33506644,bandarbeyla,so,81.67,100,92,14.79
467,74.42299505,-162.5507013,barrow,us,75.2,40,1,14.99
468,68.66900285,-146.6676249,fairbanks,us,33.8,98,90,3.71
471,66.10369831,-150.1603117,college,us,33.8,98,90,3.71
472,-25.02112516,-80.04801302,taltal,cl,66.1,85,8,0.25
473,37.37962938,-151.1041304,ahuimanu,us,66.2,93,1,3.36
476,18.0272143,81.69424945,malkangiri,in,82.57,67,0,4.38
477,20.66719851,-91.83863268,celestun,mx,79.96,98,12,12.66
480,57.71495058,-49.62439928,paamiut,gl,30.46,100,80,14.23
481,11.30203632,45.15463278,berbera,so,84.01,57,36,4.5
487,-66.67682535,19.89715522,bredasdorp,za,68.08,73,64,5.95
493,68.98395666,144.21638,belaya gora,ru,10.03,68,0,4.61
497,-12.06698724,-68.97253584,puerto maldonado,pe,82.4,78,0,3.36
498,0.695126138,16.51723553,ouesso,cg,87.8,62,40,4.7
500,-39.33812148,-89.09907587,ancud,cl,54.67,94,36,3.27
502,56.39916646,-124.6633026,mackenzie,ca,30.2,86,1,2.71
506,73.36378476,89.29082895,talnakh,ru,0.85,61,0,2.59
508,-16.49950521,22.19524371,senanga,zm,82.48,28,80,10.76
510,45.04318922,4.0601446,firminy,fr,57.2,58,90,6.93
512,-4.793380037,-26.84103662,cabedelo,br,86,66,40,13.87
517,75.90693842,117.5905658,saskylakh,ru,27.4,100,64,19.04
519,34.69739377,-15.31481146,camacha,pt,64.4,59,40,5.82
520,61.76247206,31.01627841,lyaskelya,ru,44.23,98,92,14.12
525,-16.85590997,162.5912246,poum,nc,76,100,48,20.49
528,-23.28195366,-42.08145617,arraial do cabo,br,86,58,0,6.93
529,-4.574106261,162.1202426,buala,sb,81.4,95,92,6.06
531,-15.74362886,168.92511,lakatoro,vu,76.63,95,56,9.42
533,55.70857141,127.9064323,zeya,ru,35.23,85,64,2.37
536,19.68648347,-103.1825064,tecalitlan,mx,80.6,54,75,3.15
538,-2.6433951,34.66289322,matongo,tz,70.24,90,56,2.48
544,-36.70238995,10.20607005,saldanha,za,70.33,51,44,8.63
553,-25.51996906,-61.70699732,presidencia roque saenz pena,ar,80.59,100,32,4.94
555,40.09921945,103.3031951,jinchang,cn,37.66,46,0,3.38
556,15.28586556,14.13734374,mao,td,109.39,11,0,4.72
564,-42.26017685,165.9428086,te anau,nz,35.77,95,48,1.59
566,4.063441941,103.4902127,cukai,my,77,94,8,2.37
569,39.56581704,13.22685275,forio,it,73.4,40,0,6.93
570,7.986058351,19.91428963,ndele,cf,96.88,39,44,4.5
571,54.52418414,-140.9795046,sitka,us,75.91,52,76,25.86
573,31.14740042,-111.8270864,altar,mx,60.88,41,12,7.4
576,37.55489267,-124.9420788,healdsburg,us,51.8,81,20,9.08
583,-23.24386812,19.61382457,aranos,na,81.13,20,56,8.08
584,10.46943087,-100.3247009,tecoanapa,mx,84.2,66,75,3.36
597,59.12466883,72.924182,tevriz,ru,35.86,53,0,2.59
610,-1.741407837,108.3533829,manggar,id,78.43,98,0,3.38
614,53.73091111,177.0747142,beringovskiy,ru,18.76,83,0,5.84
615,-23.37174881,129.273062,yulara,au,57.2,30,0,5.82
618,14.86256064,-32.95838181,porto novo,cv,77,53,75,32.21
620,-47.19450509,-76.57984183,coihaique,cl,46.4,81,75,5.82
624,19.82327489,-88.94671804,tzucacab,mx,85.72,64,24,3.94
633,16.28228524,123.7456412,dicabisagan,ph,78.25,100,100,3.71
634,44.42249973,-20.42377301,vila franca do campo,pt,62.6,72,40,14.99
635,52.29402538,79.97964353,rodino,ru,44.23,57,44,14.23
637,-15.008683,141.6613116,mareeba,au,69.8,94,75,5.82
639,24.49497808,65.3267126,ormara,pk,88.96,57,0,21.05
642,7.336822005,-52.64375206,iracoubo,gf,77.98,92,100,4.05
645,-10.25904716,-77.73081919,paramonga,pe,66.73,98,76,10.98
646,26.93370653,66.02155335,bela,pk,93.91,24,24,8.08
650,10.43579286,75.97481856,chavakkad,in,86,70,40,4.05
656,6.497484383,-72.13395984,guican,co,61.51,74,20,0.13
657,-5.043966739,-79.32278186,huancabamba,pe,66.46,68,36,2.37
659,-1.755901925,-78.96597852,san miguel,ec,67,99,76,2.93
664,-4.308227861,-2.831605356,axim,gh,83.83,97,8,13.56
665,-0.393144337,100.1115318,payakumbuh,id,72.31,94,88,2.15
666,7.095088568,86.31714388,kalmunai,lk,79.96,95,8,3.71
669,-19.79088661,19.2865176,grootfontein,na,76,38,0,7.18
672,28.83354145,-55.27166768,saint george,bm,68,56,20,12.75
673,31.332404,60.47157936,zabol,ir,78.8,31,64,38.03
675,70.72821206,-136.4147841,aklavik,ca,39.2,55,75,5.82
676,41.86751638,-118.6184003,winnemucca,us,32,44,1,3.27
681,-23.2747661,141.1919488,mount isa,au,69.8,56,90,6.17
682,39.13663764,-103.8441124,black forest,us,50,65,75,4.7
